year,MVP,%Wins,Games Won,Team
2015-16,Stephen Curry,.890,73,Golden State Warriors
2014-15,Stephen Curry,.817,67,Golden State Warriors
2013-14,Kevin Durant,.720,59,Oklahoma City Thunder
2012-13,LeBron James,.805,66,Miami Heat
2011-12,LeBron James,.697,46,Miami Heat
2010-11,Derrick Rose,.756,62,Chicago Bulls
2009-10,LeBron James,.744,61,Cleveland Cavaliers
2008-09,LeBron James,.805,66,Cleveland Cavaliers
2007-08,Kobe Bryant,.695,57,Los Angeles Lakers
2006-07,Dirk Nowitzki,.817,67,Dallas Mavericks
2005-06,Steve Nash,.659,54,Phoenix Suns
2004-05,Steve Nash,.756,62,Phoenix Suns
2003-04,Kevin Garnett,.707,58,Minnesota Timberwolves
2002-03,Tim Duncan,.732,60,San Antonio Spurs
2001-02,Tim Duncan,.707,58,San Antonio Spurs
2000-01,Allen Iverson,.683,56,Philadelphia 76ers
1999-00,Shaquille O'Neal,.817,67,Los Angeles Lakers
1998-99,Karl Malone,.740,37,Utah Jazz
1997-98,Michael Jordan,.756,62,Chicago Bulls
1996-97,Karl Malone,.780,64,Utah Jazz
1995-96,Michael Jordan,.878,72,Chicago Bulls
1994-95,David Robinson,.756,62,San Antonio Spurs
1993-94,Hakeem Olajuwon,.707,58,Houston Rockets
1992-93,Charles Barkley,.756,62,Phoenix Suns
1991-92,Michael Jordan,.817,67,Chicago Bulls
1990-91,Michael Jordan,.744,61,Chicago Bulls
1989-90,Magic Johnson,.768,63,Los Angeles Lakers
1988-89,Magic Johnson,.695,57,Los Angeles Lakers
1987-88,Michael Jordan,.610,50,Chicago Bulls
1986-87,Magic Johnson,.793,65,Los Angeles Lakers
1985-86,Larry Bird,.817,67,Boston Celtics
1984-85,Larry Bird,.768,63,Boston Celtics
1983-84,Larry Bird,.756,62,Boston Celtics
1982-83,Moses Malone,.793,65,Philadelphia 76ers
1981-82,Moses Malone,.561,46,Houston Rockets
1980-81,Julius Erving,.756,62,Philadelphia 76ers
1979-80,Kareem Abdul-Jabbar,.732,60,Los Angeles Lakers
1978-79,Moses Malone,.573,47,Houston Rockets
1977-78,Bill Walton,.707,58,Portland Trail Blazers
1976-77,Kareem Abdul-Jabbar,.646,53,Los Angeles Lakers
1975-76,Kareem Abdul-Jabbar,.488,40,Los Angeles Lakers
1974-75,Bob McAdoo,.598,49,Buffalo Braves
1973-74,Kareem Abdul-Jabbar,.720,59,Milwaukee Bucks
1972-73,Dave Cowens,.829,68,Boston Celtics
1971-72,Kareem Abdul-Jabbar,.768,63,Milwaukee Bucks
1970-71,Kareem Abdul-Jabbar,.805,66,Milwaukee Bucks
1969-70,Willis Reed,60,.732,New York Knicks
1968-69,Wes Unseld,.695,57,Baltimore Bullets
1967-68,Wilt Chamberlain,.756,62,Philadelphia 76ers
1966-67,Wilt Chamberlain,.840,68,Philadelphia 76ers
1965-66,Wilt Chamberlain,.688,55,Philadelphia 76ers
1964-65,Bill Russell,.775,62,Boston Celtics
1963-64,Oscar Robertson,.688,55,Cincinnati Royals
1962-63,Bill Russell,.725,58,Boston Celtics
1961-62,Bill Russell,.750,60,Boston Celtics
1960-61,Bill Russell,.722,57,Boston Celtics
1959-60,Wilt Chamberlain,.653,49,Philadelphia Warriors
1958-59,Bob Pettit,.681,49,St. Louis Hawks
1957-58,Bill Russell,.681,49,Boston Celtics
1956-57,Bob Cousy,.611,44,Boston Celtics
1955-56,Bob Pettit,.458,33,St. Louis Hawks